stop_id,stop_name,stop_lat,stop_lon,zone_id
prg:aro:210,"Escariz (Cruzeiro)",40.94039662435859,-8.41214902578701,anda:ARC19
prg:aro:211,"Souto",40.91462336221972,-8.289195902563993,anda:ARC6
prg:aro:212,"Mizarela",40.86462699487171,-8.284463396365283,anda:ARC13
prg:aro:213,"Alvarenga (Zona Industrial)",40.95698966692238,-8.147777737590786,anda:ARC9
prg:aro:214,"Carvoeiro",40.909995059366864,-8.312829454082435,anda:ARC7
prg:aro:215,"Telhe",40.9082747200308,-8.174156042972621,anda:ARC11
prg:aro:216,"Canelas (Igreja)",40.97330646110057,-8.200796576124253,anda:ARC2
prg:aro:217,"Covelas",40.97473660183834,-8.401029446980282,anda:ARC20
prg:aro:218,"Alvarenga (Vila Galega)",40.95934938593337,-8.129783586280636,anda:ARC17
prg:aro:219,"Escariz (Polo Escolar)",40.944860781086355,-8.403778507969477,anda:ARC19
prg:aro:22,"Mansores (Zona Industrial da Mata)",40.93419136701951,-8.362051632442476,anda:ARC15
prg:aro:220,"Mansores (CTT)",40.93134273958361,-8.369654012873715,anda:ARC15
prg:aro:221,"Canelas (Aldeia de Cima)",40.96771160837122,-8.208998162775169,anda:ARC2
prg:aro:222,"Bouça 2",40.894381550133666,-8.331167838780475,anda:ARC14
prg:aro:223,"Vila Nova",40.96627453907297,-8.143793065681873,anda:ARC17
prg:aro:224,"Vér",40.951273513135725,-8.392585089138077,anda:ARC20
prg:aro:225,"Canelas (Lavandeira)",40.969211723938905,-8.207288017638062,anda:ARC2
prg:aro:226,"R. D. Afonso Henriques",40.92423053321901,-8.370133569522427,anda:ARC15
prg:aro:227,"Vilarinho",40.95433508010712,-8.187588962064769,anda:ARC2
prg:aro:228,"Friães",40.90940772320148,-8.229399502808432,anda:ARC4
prg:aro:229,"S. Lázaro",40.99062984578689,-8.373166523089642,anda:ARC21
prg:aro:23,"Outeiro",40.91708636201831,-8.234387009011524,anda:ARC4
prg:aro:230,"Urrô (Igreja)",40.92793976177994,-8.294438282422977,anda:ARC7
prg:aro:231,"Pousadouro",40.9302105701072,-8.305760424627643,anda:ARC7
prg:aro:232,"Chão D'Ave",40.88975846447845,-8.34370993489997,anda:ARC14
prg:aro:233,"R. D. Afonso Henriques",40.92424620873812,-8.370217201106009,anda:ARC15
prg:aro:234,"Nabais (Capela)",40.91071039644519,-8.390967849258601,anda:ARC19
prg:aro:235,"Alvarenga (Paço)",40.96881234622565,-8.160401839676522,anda:ARC9
prg:aro:236,"Provisende",40.89381624548012,-8.317654747757645,anda:ARC6
prg:aro:237,"Belece",40.96484419186089,-8.399631669362245,anda:ARC20
